OBJECTID,RHACODE,rhad,code,rhadname,zone,zone_name,NewRHACode,RHA,Date,uptake_1,uptake_2,SHAPE_Length,SHAPE_Area
1,IE,IE11,11,Selkirk,IE1,IE Selkirk Zone,03,Interlake-Eastern,2021/05/25 00:00:00+00,61.6,10.5,0.305647039602113,0.00318689770965173
2,IE,IE21,21,Stonewall/Teulon,IE2,IE South Zone,03,Interlake-Eastern,2021/05/25 00:00:00+00,65,7.6,3.04159148936023,0.364865938253907
3,IE,IE22,22,Wpg Beach/St. Andrews,IE2,IE South Zone,03,Interlake-Eastern,2021/05/25 00:00:00+00,66.4,5.2,1.68421327855138,0.103071188701048
4,IE,IE23,23,St. Clements,IE2,IE South Zone,03,Interlake-Eastern,2021/05/25 00:00:00+00,61.9,5.2,3.28820158937038,0.108148235419528
5,IE,IE24,24,Springfield,IE2,IE South Zone,03,Interlake-Eastern,2021/05/25 00:00:00+00,64.1,5.8,2.01584359555948,0.138059683576959
6,IE,IE31,31,Beausejour,IE3,IE East Zone,03,Interlake-Eastern,2021/05/25 00:00:00+00,58.1,5.8,1.34664715707597,0.0953134178353791
7,IE,IE32,32,Pinawa / Lac du Bonnet,IE3,IE East Zone,03,Interlake-Eastern,2021/05/25 00:00:00+00,69.5,6.4,4.09993466795168,0.377231427674368
8,IE,IE33,33,Whiteshell,IE3,IE East Zone,03,Interlake-Eastern,2021/05/25 00:00:00+00,56.8,3.5,4.30394955017171,0.85358981792301
9,IE,IE41,41,Gimli,IE4,IE West Zone,03,Interlake-Eastern,2021/05/25 00:00:00+00,69.8,8,1.28471124773501,0.0405828564451712
10,IE,IE42,42,Arborg/Riverton,IE4,IE West Zone,03,Interlake-Eastern,2021/05/25 00:00:00+00,46.2,7.3,4.41523691336275,0.37797485078686
11,IE,IE43,43,St. Laurent,IE4,IE West Zone,03,Interlake-Eastern,2021/05/25 00:00:00+00,55.2,5.5,4.76717297163944,0.429208629807353
12,IE,IE51,51,Powerview / Pine Falls,IE5,IE North Zone,03,Interlake-Eastern,2021/05/25 00:00:00+00,55.9,21.4,7.72238793412482,1.2423418384112
13,IE,IE52,52,Fisher/Peguis,IE5,IE North Zone,03,Interlake-Eastern,2021/05/25 00:00:00+00,54.3,22.9,21.09301601477,5.34784298739205
14,IE,IE53,53,Eriksdale/Ashern,IE5,IE North Zone,03,Interlake-Eastern,2021/05/25 00:00:00+00,54.3,11.3,8.4364073066394,0.565823244931725
15,IE,IE61,61,Northern Remote,IE6,IE Northern Remote Zone,03,Interlake-Eastern,2021/05/25 00:00:00+00,57.5,32.7,9.61836847329404,2.84088456645712
16,NO,NO11,11,The Pas / OCN / Kelsey,NO1,NO Direct Service Zone,04,Northern,2021/05/25 00:00:00+00,58.3,13.1,5.17715873944698,1.21378300913177
17,NO,NO12,12,Flin Flon / Snow Lake / Cranberry / Sherridon,NO1,NO Direct Service Zone,04,Northern,2021/05/25 00:00:00+00,63.9,15.1,6.74043719507524,2.1502748961647
18,NO,NO13,13,Lynn / MC FN / Leaf / O-P FN (SIL) / PN FN (Granville),NO1,NO Direct Service Zone,04,Northern,2021/05/25 00:00:00+00,45.8,15.3,13.1772865544023,8.26849092547513
19,NO,NO14,14,Thompson / Mystery Lake,NO1,NO Direct Service Zone,04,Northern,2021/05/25 00:00:00+00,58.6,12.6,5.68260964888956,0.533460950449213
20,NO,NO15,15,Bay Line,NO1,NO Direct Service Zone,04,Northern,2021/05/25 00:00:00+00,71.7,61.3,14.6070820162029,2.45132634762355
21,NO,NO16,16,Gillam / Fox Lake CN,NO1,NO Direct Service Zone,04,Northern,2021/05/25 00:00:00+00,64.5,38.2,3.69880422941614,0.333949140411364
22,NO,NO21,21,GR / Misipawistik CN / ML / Mosakahiken CN / Eas / Chemawawin FN,NO2,NO Non-Direct Service Zone,04,Northern,2021/05/25 00:00:00+00,52.6,30.6,7.44360052066883,1.94893697635215
23,NO,NO22,22,Pukatawagan / Mathias Colomb CN,NO2,NO Non-Direct Service Zone,04,Northern,2021/05/25 00:00:00+00,52.3,33.7,6.96751855458151,1.67038011419044
24,NO,NO23,23,Sayisi Dene / Tadoule / Barren Lands / Brochet / Northlands / Lac Br,NO2,NO Non-Direct Service Zone,04,Northern,2021/05/25 00:00:00+00,50.9,15.8,20.8438807667109,13.4283694080475
25,NO,NO24,24,Nelson House / Nisichawayasihk CN,NO2,NO Non-Direct Service Zone,04,Northern,2021/05/25 00:00:00+00,50.1,16.1,6.75550595499058,1.92268576921377
26,NO,NO25,25,Shamattawa FN / York Factory FN  / Tataskweyak CN / Split Lake,NO2,NO Non-Direct Service Zone,04,Northern,2021/05/25 00:00:00+00,64.6,45,29.2219855322096,17.5859457801715
27,NO,NO26,26,Bunibonibee / Oxford House / Manto Sipi / God's River / God's Lake,NO2,NO Non-Direct Service Zone,04,Northern,2021/05/25 00:00:00+00,67.2,22.1,10.4248761196816,4.42794629394847
28,NO,NO27,27,Cross Lake/Pimicikamak CN,NO2,NO Non-Direct Service Zone,04,Northern,2021/05/25 00:00:00+00,82.5,69.1,9.08144402056126,2.07332988291254
29,NO,NO28,28,Norway House/Norway House CN,NO2,NO Non-Direct Service Zone,04,Northern,2021/05/25 00:00:00+00,82.3,18.8,12.1283679783284,3.65736786359161
30,NO,NO31,31,Island Lake,NO3,NO Island Lake Zone,04,Northern,2021/05/25 00:00:00+00,80.7,44.7,8.56146930599615,2.84595291764028
31,WE,WE11,11,Duck Mountain,WE1,WE North Zone,02,Prairie Mountain Health,2021/05/25 00:00:00+00,51.8,4.8,3.28693186177138,0.385808938678396
32,WE,WE12,12,Porcupine Mountain,WE1,WE North Zone,02,Prairie Mountain Health,2021/05/25 00:00:00+00,48,8.5,21.5801017255277,3.2124412450732
33,WE,WE13,13,Riding Mountain,WE1,WE North Zone,02,Prairie Mountain Health,2021/05/25 00:00:00+00,54,4.1,6.0381435467228,0.640845697403763
34,WE,WE14,14,Agassiz Mountain,WE1,WE North Zone,02,Prairie Mountain Health,2021/05/25 00:00:00+00,65.8,16.9,6.16439663719043,0.727929234667313
35,WE,WE15,15,Dauphin,WE1,WE North Zone,02,Prairie Mountain Health,2021/05/25 00:00:00+00,63,8.1,0.259142992131538,0.00157906224119015
36,WE,WE16,16,Swan River,WE1,WE North Zone,02,Prairie Mountain Health,2021/05/25 00:00:00+00,56.6,5.9,0.214759253640609,0.000902097882283703
37,WE,WE31,31,Asessippi,WE3,WE South Zone,02,Prairie Mountain Health,2021/05/25 00:00:00+00,61.1,10.9,4.73738173600384,0.835310566269468
38,WE,WE32,32,Little Saskatchewan,WE3,WE South Zone,02,Prairie Mountain Health,2021/05/25 00:00:00+00,64.8,8.3,5.63667774534155,0.944207699757011
39,WE,WE33,33,Turtle Mountain,WE3,WE South Zone,02,Prairie Mountain Health,2021/05/25 00:00:00+00,60.7,10.7,3.76425007686782,0.662064936790822
40,WE,WE34,34,Souris River,WE3,WE South Zone,02,Prairie Mountain Health,2021/05/25 00:00:00+00,58.3,5.9,5.52386321332514,0.856713386053913
