OBJECTID,RHACODE,rhad,code,rhadname,zone,zone_name,NewRHACode,RHA,Date,uptake_1,uptake_2,SHAPE_Length,SHAPE_Area
1,IE,IE11,11,Selkirk,IE1,IE Selkirk Zone,03,Interlake-Eastern,2021/06/28 00:00:00+00,71.5,39.6,38292.1633914434,61633013.1661985
2,IE,IE21,21,Stonewall/Teulon,IE2,IE South Zone,03,Interlake-Eastern,2021/06/28 00:00:00+00,75.3,37.6,415734.814090226,7065329405.37009
3,IE,IE22,22,Wpg Beach/St. Andrews,IE2,IE South Zone,03,Interlake-Eastern,2021/06/28 00:00:00+00,74.9,38.7,244936.78462706,1998581911.46503
4,IE,IE23,23,St. Clements,IE2,IE South Zone,03,Interlake-Eastern,2021/06/28 00:00:00+00,71.5,35,449975.937426815,2096652753.00397
5,IE,IE24,24,Springfield,IE2,IE South Zone,03,Interlake-Eastern,2021/06/28 00:00:00+00,74.2,36.2,256899.295204608,2656495863.76326
6,IE,IE31,31,Beausejour,IE3,IE East Zone,03,Interlake-Eastern,2021/06/28 00:00:00+00,67.7,32.6,188554.044696855,1842455044.18402
7,IE,IE32,32,Pinawa / Lac du Bonnet,IE3,IE East Zone,03,Interlake-Eastern,2021/06/28 00:00:00+00,75.4,45.9,556675.209912941,7327770730.70009
8,IE,IE33,33,Whiteshell,IE3,IE East Zone,03,Interlake-Eastern,2021/06/28 00:00:00+00,66.9,34.5,597831.371039546,16407278585.8285
9,IE,IE41,41,Gimli,IE4,IE West Zone,03,Interlake-Eastern,2021/06/28 00:00:00+00,79.5,50.3,184934.546614821,793345647.204564
10,IE,IE42,42,Arborg/Riverton,IE4,IE West Zone,03,Interlake-Eastern,2021/06/28 00:00:00+00,56,33.1,592831.444523512,7463210386.06852
11,IE,IE43,43,St. Laurent,IE4,IE West Zone,03,Interlake-Eastern,2021/06/28 00:00:00+00,63.3,27,626361.98050275,8385398811.64137
12,IE,IE51,51,Powerview / Pine Falls,IE5,IE North Zone,03,Interlake-Eastern,2021/06/28 00:00:00+00,63.5,39.4,1080415.17419984,24459356750.3079
13,IE,IE52,52,Fisher/Peguis,IE5,IE North Zone,03,Interlake-Eastern,2021/06/28 00:00:00+00,62.2,44.4,2973431.421997,108660471801.143
14,IE,IE53,53,Eriksdale/Ashern,IE5,IE North Zone,03,Interlake-Eastern,2021/06/28 00:00:00+00,63,37.7,1179289.16276731,11194192888.3166
15,IE,IE61,61,Northern Remote,IE6,IE Northern Remote Zone,03,Interlake-Eastern,2021/06/28 00:00:00+00,62.4,39.6,1325433.04344699,57573657578.1833
16,NO,NO11,11,The Pas / OCN / Kelsey,NO1,NO Direct Service Zone,04,Northern,2021/06/28 00:00:00+00,64.4,46.5,764109.375021936,25446055439.5271
17,NO,NO12,12,Flin Flon / Snow Lake / Cranberry / Sherridon,NO1,NO Direct Service Zone,04,Northern,2021/06/28 00:00:00+00,69.6,52.7,931045.283175976,46332723331.4519
18,NO,NO13,13,Lynn / MC FN / Leaf / O-P FN (SIL) / PN FN (Granville),NO1,NO Direct Service Zone,04,Northern,2021/06/28 00:00:00+00,51.1,22.7,1874092.79931138,189045282476.627
19,NO,NO14,14,Thompson / Mystery Lake,NO1,NO Direct Service Zone,04,Northern,2021/06/28 00:00:00+00,69.1,47.1,809536.196025062,11688371892.8056
20,NO,NO15,15,Bay Line,NO1,NO Direct Service Zone,04,Northern,2021/06/28 00:00:00+00,80.2,68.8,1907245.48226198,53348671502.8936
21,NO,NO16,16,Gillam / Fox Lake CN,NO1,NO Direct Service Zone,04,Northern,2021/06/28 00:00:00+00,72.5,58.2,506124.259338666,7487870681.14832
22,NO,NO21,21,GR / Misipawistik CN / ML / Mosakahiken CN / Eas / Chemawawin FN,NO2,NO Non-Direct Service Zone,04,Northern,2021/06/28 00:00:00+00,58.4,39.9,1050814.15930864,40645386191.9758
23,NO,NO22,22,Pukatawagan / Mathias Colomb CN,NO2,NO Non-Direct Service Zone,04,Northern,2021/06/28 00:00:00+00,54.3,34.3,957963.148423291,36780750557.7594
24,NO,NO23,23,Sayisi Dene / Tadoule / Barren Lands / Brochet / Northlands / Lac Br,NO2,NO Non-Direct Service Zone,04,Northern,2021/06/28 00:00:00+00,65.6,32.1,2865615.932942,323282851083.737
25,NO,NO24,24,Nelson House / Nisichawayasihk CN,NO2,NO Non-Direct Service Zone,04,Northern,2021/06/28 00:00:00+00,75.1,40.1,968528.44974706,42307731776.9556
26,NO,NO25,25,Shamattawa FN / York Factory FN  / Tataskweyak CN / Split Lake,NO2,NO Non-Direct Service Zone,04,Northern,2021/06/28 00:00:00+00,68,50.9,4100276.00776037,399546560280.533
27,NO,NO26,26,Bunibonibee / Oxford House / Manto Sipi / God's River / God's Lake,NO2,NO Non-Direct Service Zone,04,Northern,2021/06/28 00:00:00+00,81.3,47.1,1390868.46542499,95628452262.2442
28,NO,NO27,27,Cross Lake/Pimicikamak CN,NO2,NO Non-Direct Service Zone,04,Northern,2021/06/28 00:00:00+00,86.8,65.3,1180113.98787144,44559067151.4091
29,NO,NO28,28,Norway House/Norway House CN,NO2,NO Non-Direct Service Zone,04,Northern,2021/06/28 00:00:00+00,74.2,50.3,1616654.89122204,76911819161.8119
30,NO,NO31,31,Island Lake,NO3,NO Island Lake Zone,04,Northern,2021/06/28 00:00:00+00,82.8,57.8,1135711.42591619,59693083454.3815
