date,new_daily_cases,confirmed and probable,active,recovered,deaths,total_hospital,total_ICU,active_hospital,active_ICU,test to date,test_daily_diff,active_non_ICU,daily_recovery,new_daily_deaths
03/01/2020,0,0,0,,0,,,,,,,0,,
03/02/2020,0,0,0,,0,,,,,,,0,,
03/03/2020,0,0,0,,0,,,,,,,0,0,0
03/04/2020,0,0,0,,0,,,,,,,0,0,0
03/05/2020,0,0,0,,0,,,,,97,,0,0,0
03/06/2020,0,0,0,,0,,,,,403,306,0,0,0
03/07/2020,0,0,0,,0,,,,,,,0,0,0
03/08/2020,0,0,0,,0,,,,,,,0,0,0
03/09/2020,0,0,0,,0,,,,,,,0,0,0
03/10/2020,0,0,0,,0,,,,,,,0,0,0
03/11/2020,0,0,0,,0,,,,,,,0,0,0
03/12/2020,3,3,3,,0,,,,,403,0,0,0,0
03/13/2020,1,4,4,,0,,,,,403,0,0,0,0
03/14/2020,0,4,4,,0,,,,,403,0,0,0,0
03/15/2020,3,7,7,,0,,,,,2280,1877,0,0,0
03/16/2020,1,8,8,,0,,,,,2912,632,0,0,0
03/17/2020,7,15,15,,0,,,,,3270,358,0,0,0
03/18/2020,2,17,17,,0,,,,,3534,264,0,0,0
03/19/2020,0,17,17,,0,,,,,3534,0,0,0,0
03/20/2020,0,17,17,,0,,,,,3801,267,0,0,0
03/21/2020,2,19,19,,0,,,,,4245,444,0,0,0
03/22/2020,1,20,20,,0,,,,,4245,0,0,0,0
03/23/2020,0,20,20,,0,,,,,4520,275,0,0,0
03/24/2020,1,21,21,,0,,,,,4801,281,0,0,0
03/25/2020,14,35,35,,0,,,1,,5606,805,1,0,0
03/26/2020,1,36,36,,0,,,1,,6303,697,1,0,0
03/27/2020,3,39,38,,1,,,0,,6303,0,0,0,1
03/28/2020,25,64,63,,1,,,1,,7147,844,1,0,0
03/29/2020,8,72,71,,1,,,0,,8550,1403,0,0,0
03/30/2020,24,96,93,2,1,,,4,,8914,364,4,2,0
03/31/2020,7,103,98,4,1,,,3,,10044,1130,3,2,0
04/01/2020,24,127,123,4,0,,,4,,11327,1283,4,0,-1
04/02/2020,40,167,156,11,0,,,5,,11952,625,5,7,0
04/03/2020,15,182,169,11,2,,,9,,12514,562,9,0,2
04/04/2020,12,194,175,17,2,,,10,,12988,474,10,6,0
04/05/2020,9,203,184,17,2,,,11,,13486,498,11,0,0
04/06/2020,1,204,181,21,2,,,11,,14280,794,11,4,0
04/07/2020,3,207,183,21,3,,,12,,14708,428,12,0,1
04/08/2020,14,221,149,69,3,,,12,,15259,551,12,48,0
04/09/2020,3,224,145,76,3,,,11,,15259,0,11,7,0
04/10/2020,6,230,134,92,4,,,10,,16220,961,10,16,1
04/11/2020,13,243,143,96,4,,,8,,16383,163,8,4,0
04/12/2020,-1,242,142,96,4,,,8,4,17221,838,4,0,0
04/13/2020,4,246,143,99,4,,,8,4,17245,24,4,3,0
04/14/2020,0,246,143,99,4,,,9,4,17709,464,5,0,0
04/15/2020,0,246,133,108,5,,,9,4,17902,193,5,9,1
04/16/2020,4,250,124,121,5,,,8,4,18349,447,4,13,0
04/17/2020,0,250,113,132,5,,,8,4,18856,507,4,11,0
04/18/2020,3,253,108,140,5,,,7,4,19193,337,3,8,0
04/19/2020,0,253,105,143,5,,,8,5,19744,551,3,3,0
04/20/2020,1,254,104,144,6,,,8,5,20012,268,3,1,1
04/21/2020,1,255,99,150,6,,,7,4,20319,307,3,6,0
04/22/2020,2,257,97,154,6,,,7,3,21061,742,4,4,0
04/23/2020,5,262,82,174,6,,,7,2,21387,326,5,20,0
04/24/2020,1,263,61,196,6,,,7,3,22172,785,4,22,0
04/25/2020,4,267,62,199,6,,,7,2,22598,426,5,3,0
04/26/2020,4,271,66,199,6,,,8,2,23167,569,6,0,0
04/27/2020,1,272,61,205,6,,,7,2,23543,376,5,6,0
04/28/2020,0,272,57,209,6,,,7,2,23857,314,5,4,0
04/29/2020,1,273,54,213,6,,,5,0,24304,447,5,4,0
04/30/2020,2,275,49,220,6,,,5,0,24723,419,5,7,0
05/01/2020,4,279,38,235,6,,,5,0,25502,779,5,15,0
05/02/2020,1,280,38,236,6,,,6,0,26169,667,6,1,0
05/03/2020,1,281,38,237,6,,,5,0,26806,637,5,1,0
05/04/2020,0,281,37,238,6,,,5,0,27446,640,5,1,0
05/05/2020,1,282,37,238,7,,,4,0,27775,329,4,0,1
05/06/2020,2,284,35,242,7,,,5,0,28294,519,5,4,0
05/07/2020,-1,283,33,243,7,,,5,0,28810,516,5,1,0
05/08/2020,1,284,30,247,7,,,5,0,29343,533,5,4,0
05/09/2020,0,284,30,247,7,,,4,0,30014,671,4,0,0
05/10/2020,3,287,33,247,7,,,4,1,30647,633,3,0,0
05/11/2020,2,289,35,247,7,,,4,1,31029,382,3,0,0
05/12/2020,1,290,32,251,7,,,4,1,31440,411,3,4,0
05/13/2020,0,290,32,251,7,,,4,1,31946,506,3,0,0
05/14/2020,-1,289,30,252,7,,,4,1,32244,298,3,1,0
05/15/2020,0,289,28,254,7,,,3,1,33045,801,2,2,0
05/16/2020,0,289,25,257,7,,,2,1,33953,908,1,3,0
05/17/2020,0,289,25,257,7,,,2,1,34715,762,1,0,0
05/18/2020,1,290,26,257,7,,,1,0,35200,485,1,0,0
05/19/2020,0,290,26,257,7,,,1,0,35578,378,1,0,0
05/20/2020,0,290,23,260,7,,,1,0,35820,242,1,3,0
05/21/2020,0,290,18,265,7,,,1,0,36402,582,1,5,0
05/22/2020,2,292,18,267,7,,,1,0,37272,870,1,2,0
05/23/2020,0,292,17,268,7,,,0,0,37870,598,0,1,0
05/24/2020,0,292,17,268,7,,,0,0,38599,729,0,0,0
05/25/2020,0,292,17,268,7,,,0,0,38962,363,0,0,0
05/26/2020,0,292,16,269,7,,,0,0,39321,359,0,1,0
05/27/2020,0,292,14,271,7,,,0,0,40466,1145,0,2,0
05/28/2020,2,294,14,273,7,,,0,0,41191,725,0,2,0
05/29/2020,0,294,14,273,7,,,0,0,42306,1115,0,0,0
05/30/2020,0,294,9,278,7,,,0,0,43008,702,0,5,0
5/31/2020,1,295,10,278,7,,,0,0,43886,878,0,0,0
06/01/2020,0,295,10,278,7,,,0,0,44692,806,0,0,0
06/02/2020,2,297,12,278,7,,,0,0,45099,407,0,0,0
06/03/2020,1,298,9,282,7,,,0,0,45802,703,0,4,0
06/04/2020,0,298,7,284,7,,,0,0,46701,899,0,2,0
06/05/2020,2,300,9,284,7,,,0,0,47372,671,0,0,0
06/06/2020,0,300,9,284,7,,,0,0,47372,0,0,0,0
06/07/2020,0,300,9,284,7,,,0,0,47372,0,0,0,0
06/08/2020,0,300,9,284,7,,,0,0,49591,2219,0,0,0
06/09/2020,0,300,8,285,7,,,0,0,50088,497,0,1,0
06/10/2020,0,300,8,285,7,,,0,0,50726,638,0,0,0
06/11/2020,0,300,7,286,7,,,0,0,51460,734,0,1,0
06/12/2020,1,301,5,289,7,,,0,0,52255,795,0,3,0
06/13/2020,2,303,6,289,7,,,,,52255,0,0,0,0
06/14/2020,1,304,8,289,7,,,,,52255,0,0,0,0
06/15/2020,0,304,5,292,7,,,0,0,54381,2126,0,3,0
06/16/2020,0,304,5,292,7,,,0,0,54614,233,0,0,0
06/17/2020,2,306,6,293,7,,,0,0,55097,483,0,1,0
06/18/2020,2,308,8,293,7,,,0,0,55743,646,0,0,0
06/19/2020,3,311,11,293,7,,,0,0,56317,574,0,0,0
06/20/2020,2,313,13,293,7,,,0,0,56317,0,0,0,0
06/21/2020,0,313,13,293,7,,,0,0,56317,0,0,0,0
06/22/2020,1,314,14,293,7,,,0,0,58221,1904,0,0,0
06/23/2020,0,314,14,293,7,,,0,0,58801,580,0,0,0
06/24/2020,1,315,15,293,7,,,0,0,59357,556,0,0,0
06/25/2020,1,316,15,294,7,,,0,0,59834,477,0,1,0
06/26/2020,2,318,11,300,7,,,0,0,60775,941,0,6,0
06/27/2020,4,322,15,300,7,,,0,0,61565,790,0,0,0
06/28/2020,0,322,15,300,7,,,0,0,62585,1020,0,0,0
06/29/2020,2,324,17,300,7,,,0,0,63056,471,0,0,0
06/30/2020,1,325,18,300,7,,,0,0,63309,253,0,0,0
07/01/2020,0,325,18,300,7,,,0,0,63817,508,0,0,0
07/02/2020,0,325,16,302,7,,,0,0,64329,512,0,2,0
07/03/2020,0,325,16,302,7,,,0,0,64968,287,0,0,0
07/04/2020,0,325,16,302,7,,,0,0,65255,678,0,0,0
07/05/2020,0,325,16,302,7,,,0,0,65933,784,0,0,0
07/06/2020,0,325,14,304,7,,,0,0,66717,289,0,2,0
07/07/2020,0,325,11,307,7,,,0,0,67006,612,0,3,0
07/08/2020,0,325,6,312,7,,,0,0,67618,397,0,5,0
07/09/2020,0,325,4,314,7,,,0,0,68015,1021,0,2,0
07/10/2020,0,325,4,314,7,,,0,0,69036,798,0,0,0
07/11/2020,0,325,4,314,7,,,0,0,69834,1149,0,0,0
07/12/2020,0,325,4,314,7,,,0,0,70983,573,0,0,0
07/13/2020,0,325,1,317,7,,,0,0,71559,244,0,3,0
07/14/2020,5,330,5,318,7,,,0,0,71803,505,0,1,0
07/15/2020,0,330,5,318,7,,,0,0,72308,734,0,0,0
07/16/2020,1,331,6,318,7,,,0,0,73042,843,0,0,0
07/17/2020,5,336,11,318,7,,,0,0,73885,384,0,0,0
07/18/2020,1,337,12,318,7,,,0,0,74269,1390,0,0,0
07/19/2020,6,343,18,318,7,,,0,0,75659,695,0,0,0
07/20/2020,11,354,29,318,7,,,1,1,76354,1197,0,0,0
07/21/2020,12,366,41,318,7,,,1,1,77551,722,0,0,0
07/22/2020,8,374,49,318,7,,,1,1,78273,1273,0,0,0
07/23/2020,1,375,49,319,7,,,1,1,79546,1640,0,1,0
07/24/2020,9,384,58,319,7,,,2,2,81186,1393,0,0,0
07/25/2020,4,388,62,319,7,,,2,2,82579,1581,0,0,0
07/26/2020,6,394,68,319,7,,,2,2,84160,808,0,0,0
07/27/2020,6,400,74,319,7,,,3,2,84967,808,1,0,0
07/28/2020,5,405,78,319,8,,,3,2,85702,735,1,0,1
07/29/2020,2,407,74,325,8,,,6,4,86367,665,2,6,0
07/30/2020,2,409,76,325,8,,,6,4,87548,1181,2,0,0
07/31/2020,6,415,70,337,8,,,6,5,88621,1073,1,12,0
08/01/2020,2,417,72,337,8,,,5,,90424,1803,5,0,0
08/02/2020,18,435,90,337,8,,,6,5,91778,1354,1,0,0
08/03/2020,7,442,92,337,8,,,6,5,92868,1090,1,0,0
08/04/2020,0,442,93,341,8,,,9,4,93995,1127,5,4,0
08/05/2020,2,444,94,342,8,,,9,5,94984,989,4,1,0
08/06/2020,30,474,118,348,8,,,10,5,95547,563,5,6,0
08/07/2020,17,491,132,351,8,,,9,3,96999,1452,6,3,0
08/08/2020,16,507,148,351,8,,,9,3,100074,3075,6,0,0
08/09/2020,35,542,182,352,8,,,6,3,100830,756,3,1,0
08/10/2020,16,558,196,354,8,,,6,3,103782,2952,3,2,0
08/11/2020,4,562,194,360,8,,,5,3,104841,1059,2,6,0
08/12/2020,16,578,202,368,8,,,5,3,105661,820,2,8,0
08/13/2020,25,603,218,377,8,,,7,3,108211,2550,4,9,0
08/14/2020,40,643,246,389,8,,,9,3,110492,2281,6,12,0
08/15/2020,20,663,211,443,9,,,9,3,112283,1791,6,54,1
08/16/2020,34,697,205,483,9,,,9,3,113952,1669,6,40,0
08/17/2020,34,731,232,490,9,,,11,3,115963,2011,8,7,0
08/18/2020,17,748,235,502,11,,,8,2,116990,1027,6,12,2
08/19/2020,15,763,223,528,12,,,6,2,118364,1374,4,26,1
08/20/2020,33,796,247,537,12,,,6,2,119210,846,4,9,0
08/21/2020,34,830,265,553,12,,,5,1,122291,3081,4,16,0
08/22/2020,42,872,290,570,12,,,6,1,124140,1849,5,17,0
08/23/2020,96,968,380,576,12,,,7,1,125300,1160,6,6,0
08/24/2020,25,993,395,586,12,,,6,1,127149,1849,5,10,0
08/25/2020,25,1018,399,606,13,,,7,1,128576,1427,6,20,1
08/26/2020,25,1043,408,622,13,,,8,1,129409,833,7,16,0
08/27/2020,21,1064,407,643,14,,,6,1,130835,1426,5,21,1
08/28/2020,32,1096,418,664,14,,,5,1,132085,1250,4,21,0
08/29/2020,55,1151,444,693,14,,,5,1,133378,1293,4,29,0
08/30/2020,35,1186,462,710,14,,,5,1,134920,1542,4,17,0
08/31/2020,0,1186,469,731,14,,,11,1,137499,2579,10,21,0
09/01/2020,46,1232,459,759,14,,,14,1,138060,561,13,28,0
09/02/2020,12,1244,454,776,14,,,14,1,139643,1583,13,17,0
09/03/2020,20,1264,457,791,16,,,12,1,140982,1339,11,15,2
09/04/2020,9,1273,422,835,16,,,12,1,142718,1736,11,44,0
09/05/2020,21,1294,426,852,16,,,13,2,144212,1494,11,17,0
09/06/2020,29,1323,409,898,16,,,13,2,145468,1256,11,46,0
09/07/2020,15,1338,412,910,16,,,13,3,146064,596,10,12,0
09/08/2020,11,1349,393,940,16,,,13,3,148537,1219,10,30,0
09/09/2020,16,1365,404,945,16,,,12,3,149188,651,9,5,0
09/10/2020,13,1378,360,1002,16,,,11,3,150350,1162,8,57,0
09/11/2020,15,1393,287,1090,16,,,12,4,151807,1457,8,88,0
09/12/2020,17,1410,238,1156,16,,,13,4,153231,1424,9,66,0
09/13/2020,18,1428,239,1173,16,,,15,3,154756,1525,12,17,0
09/14/2020,21,1449,257,1176,16,,,12,3,155803,1047,9,3,0
09/15/2020,17,1466,269,1181,16,,,12,3,157440,1637,9,5,0
09/16/2020,23,1489,283,1190,16,,,9,3,158706,1266,6,9,0
09/17/2020,11,1500,293,1191,16,,,10,2,160109,1403,8,1,0
09/18/2020,40,1540,325,1199,16,,,11,3,161473,1364,8,8,0
09/19/2020,18,1558,331,1211,16,,,10,3,162961,1488,7,12,0
09/20/2020,28,1586,354,1216,16,,,11,3,164177,1216,8,5,0
09/21/2020,22,1608,363,1227,18,,,8,2,165998,1821,6,11,2
09/22/2020,24,1632,380,1234,18,,,8,2,167203,1205,6,7,0
09/23/2020,42,1674,417,1238,19,,,11,5,170045,2842,6,4,1
09/24/2020,37,1711,450,1243,19,,,11,6,171661,1616,5,5,0
09/25/2020,53,1764,487,1258,19,,,13,6,173633,1972,7,15,0
09/26/2020,65,1829,545,1265,19,,,12,6,175867,2234,6,7,0
09/27/2020,51,1880,589,1272,19,,,13,6,178067,2200,7,7,0
09/28/2020,39,1919,618,1281,20,,,13,7,180750,2683,6,9,1
09/29/2020,34,1953,606,1327,20,,,14,8,182536,1786,6,46,0
09/30/2020,40,1993,599,1374,20,,,13,7,184491,1955,6,47,0
