Week number,week of,Symptomatic,Asymptomatic,Cough,Headache,Fever,Muscle pain,Chills,Sore Throat
19,2020-05-03,95.8,4.2,70.6,47.8,42.9,40.8,41.2,
20,2020-05-10,95.9,4.1,70.7,47.6,43.1,41,41.4,
21,2020-05-17,95.5,4.5,70.5,47.3,43.2,41.1,41.1,
22,2020-05-24,95.6,4.4,70.5,47.1,43.4,41,41.4,
23,2020-05-31,94.7,5.3,70,46.7,43.3,40.7,41,
24,2020-06-07,93.8,6.2,69.1,46.1,43.1,40.1,40.5,
25,2020-06-14,93,7,68.2,45.7,42.4,39.9,39.9,
26,2020-06-21,93.2,6.8,67.3,45.2,42.4,39.3,39.3,
27,2020-06-28,92.3,7.7,67.2,44.9,42.4,39,39,
28,2020-07-05,92.3,7.7,67.2,44.9,42.4,39,39,
29,2020-07-12,92.4,7.6,67,45.1,43.4,39.8,39.2,
30,2020-07-19,89.4,10.6,65.9,43.1,42.8,39,36.9,
31,2020-07-26,89.2,10.8,64.3,43,43.2,39.4,36.6,
32,2020-08-02,87.5,12.5,60.7,41.4,40.8,37.4,,33.1
33,2020-08-09,87.1,12.9,59.6,42.5,39.8,36.3,,32.5
34,2020-08-16,87.2,12.8,56.8,44.8,40.4,36.9,,33.8
35,2020-08-23,86.9,13.1,55.1,45.8,37.9,36.4,,33.5
36,2020-08-30,85.9,14.1,54,45.1,37.1,35.4,,33
37,2020-09-06,85.8,14.2,53.3,44.7,36,35.7,,32.3
38,2020-09-13,84.7,15.3,52.6,44.2,35.9,34.9,,31.9
39,2020-09-20,82.1,17.9,50.9,43.4,35.1,32.9,,31.4
40,2020-09-27,79.2,20.8,49.8,42.9,34.9,32,,30.7
41,2020-10-04,72,28,49.7,43,35.3,31.7,,30.4
42,2020-10-11,71.9,28.1,48.1,42.3,34.5,31,,30.7
43,2020-10-18,78.4,21.6,47.6,41.4,33.1,30.6,,29.3
44,2020-10-25,75.3,24.7,46.7,41.4,32.4,30.5,,29.3
45,2020-11-01,75.7,24.3,46.4,41.2,32,30.7,,29.7
46,2020-11-08,76.2,23.8,45.7,41,31.7,31,,29
47,2020-11-15,76.9,23.1,45.7,40.7,31.7,30.9,,28.4
48,2020-11-22,77.6,22.4,46,39.7,31.8,30.2,,28.1
49,2020-11-29,76.6,23.4,45.9,39.4,31.7,30.2,,28
50,2020-12-06,74.8,25.2,45.7,39.2,31.6,30,,27.9
51,2020-12-13,73.7,26.3,45.5,38.9,31.3,29.8,,27.7
52,2020-12-20,73,27,45.3,38.4,31.1,29.4,,27.3
53,2020-12-27,73,27,45.2,38.3,31,29.4,,27.3
1,2021-01-03,73,27,45.1,38.1,30.7,29.3,,27.1
2,2021-01-10,72.4,27.6,45,37.9,30.6,29.1,,26.9
3,2021-01-17,71.6,28.4,44.7,37.7,30.3,28.9,,26.7
4,2021-01-24,71.5,28.5,44.5,37.7,30.3,28.8,,26.5
5,2021-01-31,71.4,28.6,44.4,37.6,30.2,28.6,,26.4
6,2021-02-07,71.9,28.1,44.1,37.4,30,28.3,,26.2
7,2021-02-14,71.9,28.1,44,37.3,29.8,28.1,,26.2
8,2021-02-21,71.9,28.1,43.9,37.2,29.6,27.9,,26.1
9,2021-02-28,71.9,28.1,43.9,37.1,29.5,27.9,,26
10,2021-03-07,71.9,28.1,53.8,37.1,29.6,27.7,,26
11,2021-03-14,71.4,28.6,43.8,37.1,29.6,27.6,,26.1
12,2021-03-21,71.4,28.6,43.9,37.2,29.6,27.7,,26.1
13,2021-03-28,71.3,28.7,43.8,37.2,29.6,27.6,,26.1
14,2021-04-04,71.4,28.6,43.8,37.3,29.7,27.7,,27.7
15,2021-04-11,71.4,28.6,43.9,37.4,29.9,27.9,,26.2
16,2021-04-18,71.6,28.4,44.2,37.6,30.1,28.1,,26.5
17,2021-04-25,71.8,28.2,44.6,37.8,30.6,28.3,,26.7
18,2021-05-02,72.3,27.7,45.2,38.2,31.2,28.6,,27.1
