week of,Unknown,Travel,Close contact,Investigation pending
2020-05-03,11.1,47.1,41.5,0.3
2020-05-10,11,47.2,41.4,0.3
2020-05-17,11.2,47.5,41.4,0
2020-05-24,11.5,47.1,41.4,0
2020-05-31,11.3,46.3,41.3,1
2020-06-07,11.2,46.4,42.1,0.3
2020-06-14,11.8,46,41.2,1
2020-06-21,11.8,46.6,41,0.6
2020-06-28,12,46.5,40.9,0.6
2020-07-05,12,46.5,40.9,0.6
2020-07-12,12.3,45.6,40.6,1.5
2020-07-19,10.6,41.7,46,1.8
2020-07-26,10.8,40.5,46.2,2.5
2020-08-02,12,34.1,44.9,9
2020-08-09,17.4,28.2,46.3,8.2
2020-08-16,15.1,21.1,54.4,9.5
2020-08-23,14.9,17.9,59.7,7.4
2020-08-30,15.4,16.4,61.1,7.1
2020-09-06,16.4,15.3,62.8,5.6
2020-09-13,17.8,13.8,63.4,5
2020-09-20,17.8,11.8,62.4,8.1
2020-09-27,17.5,10.6,60.5,11.4
2020-10-04,17.2,8.7,53.7,20.4
2020-10-11,18.2,7.2,51.2,23.3
2020-10-18,20.5,5.6,54.3,19.7
2020-10-25,20.5,4.1,52.9,22.5
2020-11-01,21.4,3.1,52.3,23.2
2020-11-08,22.9,2.5,52,22.6
2020-11-15,23.8,2.1,52.6,21.5
2020-11-22,24.5,1.8,53.2,20.6
2020-11-29,24.6,1.6,53.1,20.7
2020-12-06,24.1,1.5,52.3,22.1
2020-12-13,23.9,1.4,51.7,23
2020-12-20,23.8,1.4,51.8,23
2020-12-27,23.9,1.3,52,22.8
2021-01-03,23.8,1.3,52.3,22.6
2021-01-10,23.7,1.3,52.3,22.7
2021-01-17,23.4,1.2,52,23.3
2021-01-24,23.3,1.2,51.9,23.5
2021-01-31,23.3,1.2,51.9,23.5
2021-02-07,23.4,1.3,52.4,22.9
2021-02-14,23.3,1.3,52.5,23
2021-02-21,23.3,1.3,52.6,22.8
2021-02-28,23.3,1.3,52.7,22.6
2021-03-07,23.3,1.3,52.7,22.7
2021-03-14,23.2,1.3,52.5,23
2021-03-21,23.1,1.3,52.6,23
2021-03-28,23.1,1.3,52.7,22.9
2021-04-04,23.1,1.4,52.9,22.7
2021-04-11,23.1,1.4,53,22.5
2021-04-18,23.2,1.4,53.4,22
2021-04-25,23.3,1.5,53.6,21.6
2021-05-02,23.7,1.4,54,20.9
2021-05-09,24,1.4,54.6,19.9
2021-05-16,24.3,1.3,55.1,19.3
2021-05-23,24.6,1.3,55.2,18.9
2021-05-30,24.8,1.3,55.3,18.6
2021-06-06,24.8,1.2,55.5,18.5
2021-06-13,24.7,1.2,55.5,18.5
