"Geography","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021"
"Canada","37,899,277","37,979,854","38,005,238","38,008,005","38,048,738"
"Newfoundland and Labrador","523,631","522,994","522,103","520,961","520,438"
"Prince Edward Island","158,629","159,249","159,625","159,747","159,819"
"Nova Scotia","975,898","977,043","979,351","979,089","979,449"
"New Brunswick","780,040","781,024","781,476","781,282","782,078"
"Quebec","8,556,650","8,572,054","8,574,571","8,575,812","8,575,944"
"Ontario","14,689,075","14,723,497","14,734,014","14,733,506","14,755,211"
"Manitoba","1,377,004","1,378,818","1,379,263","1,379,469","1,380,935"
"Saskatchewan","1,179,154","1,179,618","1,178,681","1,177,782","1,178,832"
"Alberta","4,402,045","4,417,006","4,421,876","4,428,082","4,436,258"
"British Columbia","5,131,575","5,142,404","5,147,712","5,145,785","5,153,039"
"Yukon","41,731","41,980","42,052","42,165","42,192"
"Northwest Territories","45,119","45,201","45,161","45,037","45,136"
"Nunavut","38,726","38,966","39,353","39,288","39,407"
