Date,RHA,Daily_Cases,Cumulative_Cases,Active_Cases,Recoveries,Deaths
2020/03/13 05:00:00+00,Interlake-Eastern,0,0,0,0,0
2020/03/13 05:00:00+00,Northern,0,0,0,0,0
2020/03/13 05:00:00+00,Prairie Mountain Health,0,0,0,0,0
2020/03/13 05:00:00+00,Southern Health-Santé Sud,0,0,0,0,0
2020/03/13 05:00:00+00,Winnipeg,2,2,2,0,0
2020/03/13 05:00:00+00,All,2,2,2,0,911
2020/03/14 05:00:00+00,Interlake-Eastern,0,0,0,0,0
2020/03/14 05:00:00+00,Northern,0,0,0,0,0
2020/03/14 05:00:00+00,Prairie Mountain Health,0,0,0,0,0
2020/03/14 05:00:00+00,Southern Health-Santé Sud,0,0,0,0,0
2020/03/14 05:00:00+00,Winnipeg,1,3,3,0,0
2020/03/14 05:00:00+00,All,1,3,3,0,0
2020/03/15 05:00:00+00,Interlake-Eastern,0,0,0,0,0
2020/03/15 05:00:00+00,Northern,0,0,0,0,0
2020/03/15 05:00:00+00,Prairie Mountain Health,0,0,0,0,0
2020/03/15 05:00:00+00,Southern Health-Santé Sud,0,0,0,0,0
2020/03/15 05:00:00+00,Winnipeg,0,3,3,0,0
2020/03/15 05:00:00+00,All,0,3,3,0,0
2020/03/16 05:00:00+00,Interlake-Eastern,1,1,1,0,0
2020/03/16 05:00:00+00,Northern,0,0,0,0,0
2020/03/16 05:00:00+00,Prairie Mountain Health,0,0,0,0,0
2020/03/16 05:00:00+00,Southern Health-Santé Sud,0,0,0,0,0
2020/03/16 05:00:00+00,Winnipeg,2,5,5,0,0
2020/03/16 05:00:00+00,All,3,6,6,0,0
2020/03/17 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/17 05:00:00+00,Northern,0,0,0,0,0
2020/03/17 05:00:00+00,Prairie Mountain Health,0,0,0,0,0
2020/03/17 05:00:00+00,Southern Health-Santé Sud,0,0,0,0,0
2020/03/17 05:00:00+00,Winnipeg,1,6,6,0,0
2020/03/17 05:00:00+00,All,1,7,7,0,0
2020/03/18 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/18 05:00:00+00,Northern,0,0,0,0,0
2020/03/18 05:00:00+00,Prairie Mountain Health,0,0,0,0,0
2020/03/18 05:00:00+00,Southern Health-Santé Sud,2,2,2,0,0
2020/03/18 05:00:00+00,Winnipeg,5,11,11,0,0
2020/03/18 05:00:00+00,All,7,14,14,0,0
2020/03/19 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/19 05:00:00+00,Northern,0,0,0,0,0
2020/03/19 05:00:00+00,Prairie Mountain Health,0,0,0,1,0
2020/03/19 05:00:00+00,Southern Health-Santé Sud,0,2,2,0,0
2020/03/19 05:00:00+00,Winnipeg,1,12,12,0,0
2020/03/19 05:00:00+00,All,1,15,14,1,0
2020/03/20 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/20 05:00:00+00,Northern,0,0,0,0,0
2020/03/20 05:00:00+00,Prairie Mountain Health,0,0,0,1,0
2020/03/20 05:00:00+00,Southern Health-Santé Sud,0,2,2,0,0
2020/03/20 05:00:00+00,Winnipeg,1,13,13,0,0
2020/03/20 05:00:00+00,All,1,16,15,1,0
2020/03/21 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/21 05:00:00+00,Northern,0,0,0,0,0
2020/03/21 05:00:00+00,Prairie Mountain Health,0,0,0,1,0
2020/03/21 05:00:00+00,Southern Health-Santé Sud,0,2,2,0,0
2020/03/21 05:00:00+00,Winnipeg,0,13,13,0,0
2020/03/21 05:00:00+00,All,0,16,15,1,0
2020/03/22 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/22 05:00:00+00,Northern,0,0,0,0,0
2020/03/22 05:00:00+00,Prairie Mountain Health,0,0,0,1,0
2020/03/22 05:00:00+00,Southern Health-Santé Sud,0,2,2,0,0
2020/03/22 05:00:00+00,Winnipeg,1,14,14,0,0
2020/03/22 05:00:00+00,All,1,17,16,1,0
2020/03/23 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/23 05:00:00+00,Northern,0,0,0,0,0
2020/03/23 05:00:00+00,Prairie Mountain Health,0,0,0,1,0
2020/03/23 05:00:00+00,Southern Health-Santé Sud,0,2,2,0,0
2020/03/23 05:00:00+00,Winnipeg,3,17,16,1,0
2020/03/23 05:00:00+00,All,3,20,18,2,0
2020/03/24 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/24 05:00:00+00,Northern,0,0,0,0,0
2020/03/24 05:00:00+00,Prairie Mountain Health,1,1,0,1,0
2020/03/24 05:00:00+00,Southern Health-Santé Sud,0,2,2,0,0
2020/03/24 05:00:00+00,Winnipeg,0,17,16,1,0
2020/03/24 05:00:00+00,All,1,21,19,2,0
2020/03/25 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/25 05:00:00+00,Northern,0,0,0,0,0
2020/03/25 05:00:00+00,Prairie Mountain Health,0,1,0,1,0
2020/03/25 05:00:00+00,Southern Health-Santé Sud,1,3,3,0,0
2020/03/25 05:00:00+00,Winnipeg,5,22,19,3,0
2020/03/25 05:00:00+00,All,6,27,23,4,0
2020/03/26 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/26 05:00:00+00,Northern,0,0,0,0,0
2020/03/26 05:00:00+00,Prairie Mountain Health,2,3,2,1,0
2020/03/26 05:00:00+00,Southern Health-Santé Sud,1,4,4,0,0
2020/03/26 05:00:00+00,Winnipeg,6,28,23,4,1
2020/03/26 05:00:00+00,All,9,36,30,5,1
2020/03/27 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/27 05:00:00+00,Northern,0,0,0,0,0
2020/03/27 05:00:00+00,Prairie Mountain Health,0,3,2,1,0
2020/03/27 05:00:00+00,Southern Health-Santé Sud,1,5,3,2,0
2020/03/27 05:00:00+00,Winnipeg,26,54,49,4,1
2020/03/27 05:00:00+00,All,27,63,55,7,1
2020/03/28 05:00:00+00,Interlake-Eastern,2,3,3,0,0
2020/03/28 05:00:00+00,Northern,0,0,0,0,0
2020/03/28 05:00:00+00,Prairie Mountain Health,4,7,6,1,0
2020/03/28 05:00:00+00,Southern Health-Santé Sud,0,5,2,3,0
2020/03/28 05:00:00+00,Winnipeg,4,58,52,5,1
2020/03/28 05:00:00+00,All,10,73,63,9,1
2020/03/29 05:00:00+00,Interlake-Eastern,1,4,4,0,0
2020/03/29 05:00:00+00,Northern,1,1,1,0,0
2020/03/29 05:00:00+00,Prairie Mountain Health,2,9,8,1,0
2020/03/29 05:00:00+00,Southern Health-Santé Sud,1,6,3,3,0
2020/03/29 05:00:00+00,Winnipeg,18,76,69,6,1
2020/03/29 05:00:00+00,All,23,96,85,10,1
2020/03/30 05:00:00+00,Interlake-Eastern,0,4,4,0,0
